,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Dezembro de 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,SP,355310,Taiaçu,181,201,20,"11,0%",12,15,3,"25,0%",1,0,-1,"-100,0%",158,132,-26,"-16,5%",344,369,25,"7,3%",696,717,21,"3,0%"
,SP,355320,Taiúva,124,127,3,"2,4%",51,47,-4,"-7,8%",9,18,9,"100,0%",255,270,15,"5,9%",358,528,170,"47,5%",797,990,193,"24,2%"
,SP,355330,Tambaú,775,967,192,"24,8%",2.682,2.702,20,"0,7%",131,221,90,"68,7%",1.077,1.091,14,"1,3%",1.466,1.560,94,"6,4%",6.131,6.541,410,"6,7%"
,SP,355340,Tanabi,298,298,0,"0,0%",2.593,2.721,128,"4,9%",55,28,-27,"-49,1%",1.147,1.173,26,"2,3%",1.693,1.793,100,"5,9%",5.786,6.013,227,"3,9%"
,SP,355350,Tapiraí,195,127,-68,"-34,9%",302,296,-6,"-2,0%",31,22,-9,"-29,0%",203,198,-5,"-2,5%",514,516,2,"0,4%",1.245,1.159,-86,"-6,9%"
,SP,355360,Tapiratiba,801,863,62,"7,7%",752,801,49,"6,5%",72,120,48,"66,7%",399,360,-39,"-9,8%",812,848,36,"4,4%",2.836,2.992,156,"5,5%"
,SP,355365,Taquaral,292,310,18,"6,2%",15,17,2,"13,3%",1,1,0,"0,0%",91,86,-5,"-5,5%",287,262,-25,"-8,7%",686,676,-10,"-1,5%"
,SP,355370,Taquaritinga,1.107,1.212,105,"9,5%",2.541,2.512,-29,"-1,1%",429,334,-95,"-22,1%",2.914,2.791,-123,"-4,2%",5.004,8.217,3.213,"64,2%",11.995,15.066,3.071,"25,6%"
,SP,355380,Taquarituba,690,687,-3,"-0,4%",907,958,51,"5,6%",121,84,-37,"-30,6%",1.669,1.675,6,"0,4%",1.998,2.372,374,"18,7%",5.392,5.776,384,"7,1%"
,SP,355385,Taquarivaí,884,862,-22,"-2,5%",94,95,1,"1,1%",101,71,-30,"-29,7%",313,362,49,"15,7%",537,638,101,"18,8%",1.929,2.028,99,"5,1%"
,SP,355390,Tarabai,102,96,-6,"-5,9%",275,267,-8,"-2,9%",20,36,16,"80,0%",187,161,-26,"-13,9%",415,583,168,"40,5%",999,1.143,144,"14,4%"
,SP,355395,Tarumã,1.877,1.988,111,"5,9%",1.293,1.367,74,"5,7%",581,814,233,"40,1%",748,701,-47,"-6,3%",1.162,1.079,-83,"-7,1%",5.661,5.949,288,"5,1%"
,SP,355400,Tatuí,1.575,1.413,-162,"-10,3%",9.039,9.718,679,"7,5%",827,1.007,180,"21,8%",7.442,7.211,-231,"-3,1%",13.491,14.040,549,"4,1%",32.374,33.389,1.015,"3,1%"
,SP,355410,Taubaté,579,554,-25,"-4,3%",17.054,19.303,2.249,"13,2%",3.912,3.435,-477,"-12,2%",18.456,17.865,-591,"-3,2%",47.267,51.812,4.545,"9,6%",87.270,92.969,5.699,"6,5%"
,SP,355420,Tejupá,261,270,9,"3,4%",237,191,-46,"-19,4%",22,2,-20,"-90,9%",32,31,-1,"-3,1%",290,359,69,"23,8%",842,853,11,"1,3%"
,SP,355430,Teodoro Sampaio,437,495,58,"13,3%",658,638,-20,"-3,0%",17,19,2,"11,8%",701,742,41,"5,8%",1.749,2.026,277,"15,8%",3.562,3.920,358,"10,1%"
,SP,355440,Terra Roxa,213,189,-24,"-11,3%",142,106,-36,"-25,4%",0,6,6,#DIV/0!,256,266,10,"3,9%",604,617,13,"2,2%",1.215,1.184,-31,"-2,6%"
,SP,355450,Tietê,551,558,7,"1,3%",6.828,7.185,357,"5,2%",794,791,-3,"-0,4%",2.332,2.340,8,"0,3%",4.107,4.632,525,"12,8%",14.612,15.506,894,"6,1%"
,SP,355460,Timburi,171,159,-12,"-7,0%",19,18,-1,"-5,3%",1,1,0,"0,0%",36,28,-8,"-22,2%",217,206,-11,"-5,1%",444,412,-32,"-7,2%"
,SP,355465,Torre de Pedra,43,43,0,"0,0%",3,9,6,"200,0%",7,6,-1,"-14,3%",33,34,1,"3,0%",179,163,-16,"-8,9%",265,255,-10,"-3,8%"
,SP,355470,Torrinha,464,518,54,"11,6%",353,487,134,"38,0%",5,11,6,"120,0%",584,588,4,"0,7%",884,862,-22,"-2,5%",2.290,2.466,176,"7,7%"
,SP,355475,Trabiju,123,128,5,"4,1%",89,21,-68,"-76,4%",5,5,0,"0,0%",15,84,69,"460,0%",207,246,39,"18,8%",453,484,31,"6,8%"
,SP,355480,Tremembé,190,194,4,"2,1%",1.128,1.268,140,"12,4%",272,223,-49,"-18,0%",1.424,1.481,57,"4,0%",2.643,4.548,1.905,"72,1%",5.657,7.714,2.057,"36,4%"
,SP,355490,Três Fronteiras,80,789,709,"886,3%",66,125,59,"89,4%",56,18,-38,"-67,9%",143,117,-26,"-18,2%",335,425,90,"26,9%",680,1.474,794,"116,8%"
,SP,355495,Tuiuti,121,178,57,"47,1%",35,41,6,"17,1%",61,66,5,"8,2%",66,72,6,"9,1%",380,353,-27,"-7,1%",663,710,47,"7,1%"
,SP,355500,Tupã,1.226,1.309,83,"6,8%",2.860,2.792,-68,"-2,4%",298,370,72,"24,2%",4.745,4.686,-59,"-1,2%",7.730,10.210,2.480,"32,1%",16.860,19.367,2.507,"14,9%"
,SP,355510,Tupi Paulista,289,348,59,"20,4%",96,91,-5,"-5,2%",8,55,47,"587,5%",823,786,-37,"-4,5%",1.488,2.032,544,"36,6%",2.704,3.312,608,"22,5%"
,SP,355520,Turiúba,69,69,0,"0,0%",15,22,7,"46,7%",3,0,-3,"-100,0%",11,12,1,"9,1%",168,172,4,"2,4%",266,275,9,"3,4%"
,SP,355530,Turmalina,95,115,20,"21,1%",1,2,1,"100,0%",0,0,0,#DIV/0!,26,28,2,"7,7%",184,217,33,"17,9%",306,362,56,"18,3%"
,SP,355535,Ubarana,107,102,-5,"-4,7%",879,858,-21,"-2,4%",36,37,1,"2,8%",120,146,26,"21,7%",368,396,28,"7,6%",1.510,1.539,29,"1,9%"
,SP,355540,Ubatuba,26,33,7,"26,9%",704,705,1,"0,1%",1.565,1.659,94,"6,0%",6.599,6.728,129,"2,0%",13.360,14.079,719,"5,4%",22.254,23.204,950,"4,3%"
,SP,355550,Ubirajara,783,694,-89,"-11,4%",47,40,-7,"-14,9%",0,0,0,#DIV/0!,117,116,-1,"-0,9%",359,662,303,"84,4%",1.306,1.512,206,"15,8%"
,SP,355560,Uchoa,125,94,-31,"-24,8%",372,341,-31,"-8,3%",142,158,16,"11,3%",258,270,12,"4,7%",653,677,24,"3,7%",1.550,1.540,-10,"-0,6%"
,SP,355570,União Paulista,28,29,1,"3,6%",111,101,-10,"-9,0%",6,5,-1,"-16,7%",22,11,-11,"-50,0%",171,174,3,"1,8%",338,320,-18,"-5,3%"
,SP,355580,Urânia,104,117,13,"12,5%",514,477,-37,"-7,2%",1,3,2,"200,0%",274,254,-20,"-7,3%",559,572,13,"2,3%",1.452,1.423,-29,"-2,0%"
,SP,355590,Uru,41,33,-8,"-19,5%",30,39,9,"30,0%",0,6,6,#DIV/0!,15,25,10,"66,7%",210,196,-14,"-6,7%",296,299,3,"1,0%"
,SP,355600,Urupês,347,459,112,"32,3%",876,987,111,"12,7%",64,51,-13,"-20,3%",764,664,-100,"-13,1%",1.194,1.264,70,"5,9%",3.245,3.425,180,"5,5%"
,SP,355610,Valentim Gentil,132,224,92,"69,7%",2.204,2.388,184,"8,3%",16,22,6,"37,5%",448,483,35,"7,8%",660,735,75,"11,4%",3.460,3.852,392,"11,3%"
,SP,355620,Valinhos,647,648,1,"0,2%",13.989,14.568,579,"4,1%",1.791,1.580,-211,"-11,8%",10.436,10.353,-83,"-0,8%",21.879,22.705,826,"3,8%",48.742,49.854,1.112,"2,3%"
,SP,355630,Valparaíso,277,302,25,"9,0%",3.415,3.523,108,"3,2%",152,141,-11,"-7,2%",619,638,19,"3,1%",1.827,2.559,732,"40,1%",6.290,7.163,873,"13,9%"
,SP,355635,Vargem,93,73,-20,"-21,5%",236,209,-27,"-11,4%",52,61,9,"17,3%",299,366,67,"22,4%",600,656,56,"9,3%",1.280,1.365,85,"6,6%"
,SP,355640,Vargem Grande do Sul,680,705,25,"3,7%",2.191,2.261,70,"3,2%",173,165,-8,"-4,6%",2.398,2.474,76,"3,2%",3.225,3.528,303,"9,4%",8.667,9.133,466,"5,4%"
,SP,355645,Vargem Grande Paulista,170,168,-2,"-1,2%",5.785,5.755,-30,"-0,5%",662,671,9,"1,4%",3.607,4.413,806,"22,3%",4.577,4.919,342,"7,5%",14.801,15.926,1.125,"7,6%"
,SP,355650,Várzea Paulista,24,27,3,"12,5%",9.048,8.695,-353,"-3,9%",963,1.143,180,"18,7%",3.816,4.177,361,"9,5%",6.670,7.213,543,"8,1%",20.521,21.255,734,"3,6%"
,SP,355660,Vera Cruz,324,319,-5,"-1,5%",65,83,18,"27,7%",23,25,2,"8,7%",378,377,-1,"-0,3%",539,615,76,"14,1%",1.332,1.419,87,"6,5%"
,SP,355670,Vinhedo,98,109,11,"11,2%",19.564,19.958,394,"2,0%",1.055,770,-285,"-27,0%",7.716,7.444,-272,"-3,5%",14.744,15.375,631,"4,3%",43.177,43.656,479,"1,1%"
,SP,355680,Viradouro,215,212,-3,"-1,4%",900,761,-139,"-15,4%",36,42,6,"16,7%",739,753,14,"1,9%",1.428,1.528,100,"7,0%",3.318,3.296,-22,"-0,7%"
,SP,355690,Vista Alegre do Alto,553,598,45,"8,1%",2.310,2.584,274,"11,9%",1,2,1,"100,0%",529,419,-110,"-20,8%",520,558,38,"7,3%",3.913,4.161,248,"6,3%"
,SP,355695,Vitória Brasil,21,23,2,"9,5%",0,0,0,#DIV/0!,0,0,0,#DIV/0!,64,75,11,"17,2%",128,155,27,"21,1%",213,253,40,"18,8%"
,SP,355700,Votorantim,42,30,-12,"-28,6%",5.497,5.639,142,"2,6%",1.267,1.333,66,"5,2%",6.519,6.696,177,"2,7%",9.112,12.285,3.173,"34,8%",22.437,25.983,3.546,"15,8%"
,SP,355710,Votuporanga,209,259,50,"23,9%",7.007,7.700,693,"9,9%",799,721,-78,"-9,8%",7.143,7.222,79,"1,1%",12.631,14.519,1.888,"14,9%",27.789,30.421,2.632,"9,5%"
,SP,355715,Zacarias,237,265,28,"11,8%",105,89,-16,"-15,2%",2,0,-2,"-100,0%",54,64,10,"18,5%",294,362,68,"23,1%",692,780,88,"12,7%"
,SP,355720,Chavantes,179,206,27,"15,1%",507,522,15,"3,0%",5,7,2,"40,0%",334,337,3,"0,9%",1.387,1.575,188,"13,6%",2.412,2.647,235,"9,7%"
,SP,355730,Estiva Gerbi,436,444,8,"1,8%",525,553,28,"5,3%",45,102,57,"126,7%",350,288,-62,"-17,7%",939,981,42,"4,5%",2.295,2.368,73,"3,2%"
,PR,410010,Abatiá,152,176,24,"15,8%",45,60,15,"33,3%",8,12,4,"50,0%",108,130,22,"20,4%",438,427,-11,"-2,5%",751,805,54,"7,2%"
,PR,410020,Adrianópolis,190,208,18,"9,5%",372,322,-50,"-13,4%",54,46,-8,"-14,8%",231,239,8,"3,5%",317,483,166,"52,4%",1.164,1.298,134,"11,5%"
,PR,410030,Agudos do Sul,27,22,-5,"-18,5%",46,84,38,"82,6%",24,60,36,"150,0%",406,400,-6,"-1,5%",623,698,75,"12,0%",1.126,1.264,138,"12,3%"
,PR,410040,Almirante Tamandaré,163,166,3,"1,8%",4.690,4.849,159,"3,4%",1.295,1.324,29,"2,2%",3.194,3.184,-10,"-0,3%",5.975,6.369,394,"6,6%",15.317,15.892,575,"3,8%"
,PR,410045,Altamira do Paraná,77,78,1,"1,3%",55,46,-9,"-16,4%",1,0,-1,"-100,0%",90,95,5,"5,6%",309,316,7,"2,3%",532,535,3,"0,6%"
,PR,410050,Altônia,247,214,-33,"-13,4%",1.386,1.332,-54,"-3,9%",22,19,-3,"-13,6%",728,679,-49,"-6,7%",998,1.064,66,"6,6%",3.381,3.308,-73,"-2,2%"
,PR,410060,Alto Paraná,376,448,72,"19,1%",479,455,-24,"-5,0%",43,50,7,"16,3%",404,477,73,"18,1%",763,945,182,"23,9%",2.065,2.375,310,"15,0%"
,PR,410070,Alto Piquiri,124,130,6,"4,8%",219,184,-35,"-16,0%",22,17,-5,"-22,7%",317,334,17,"5,4%",530,486,-44,"-8,3%",1.212,1.151,-61,"-5,0%"
,PR,410080,Alvorada do Sul,279,291,12,"4,3%",283,304,21,"7,4%",58,33,-25,"-43,1%",414,437,23,"5,6%",807,746,-61,"-7,6%",1.841,1.811,-30,"-1,6%"
,PR,410090,Amaporã,155,155,0,"0,0%",64,124,60,"93,8%",1,0,-1,"-100,0%",118,104,-14,"-11,9%",304,313,9,"3,0%",642,696,54,"8,4%"
,PR,410100,Ampére,104,102,-2,"-1,9%",3.128,3.166,38,"1,2%",37,65,28,"75,7%",1.026,972,-54,"-5,3%",1.607,1.740,133,"8,3%",5.902,6.045,143,"2,4%"
,PR,410105,Anahy,56,54,-2,"-3,6%",13,10,-3,"-23,1%",23,13,-10,"-43,5%",142,163,21,"14,8%",365,356,-9,"-2,5%",599,596,-3,"-0,5%"
,PR,410110,Andirá,288,261,-27,"-9,4%",1.023,1.089,66,"6,5%",73,68,-5,"-6,8%",853,848,-5,"-0,6%",1.963,2.065,102,"5,2%",4.229,4.331,102,"2,4%"
,PR,410115,Ângulo,127,119,-8,"-6,3%",16,55,39,"243,8%",11,18,7,"63,6%",139,139,0,"0,0%",304,333,29,"9,5%",597,664,67,"11,2%"
,PR,410120,Antonina,146,138,-8,"-5,5%",119,97,-22,"-18,5%",28,31,3,"10,7%",555,671,116,"20,9%",2.138,2.348,210,"9,8%",2.986,3.285,299,"10,0%"
,PR,410130,Antônio Olinto,139,149,10,"7,2%",70,69,-1,"-1,4%",8,12,4,"50,0%",167,143,-24,"-14,4%",373,396,23,"6,2%",757,769,12,"1,6%"
,PR,410140,Apucarana,526,498,-28,"-5,3%",13.837,13.160,-677,"-4,9%",1.350,1.400,50,"3,7%",8.197,8.568,371,"4,5%",13.811,15.838,2.027,"14,7%",37.722,39.464,1.742,"4,6%"
,PR,410150,Arapongas,808,795,-13,"-1,6%",16.221,16.256,35,"0,2%",936,958,22,"2,4%",8.522,8.646,124,"1,5%",12.545,13.289,744,"5,9%",39.039,39.944,905,"2,3%"
,PR,410160,Arapoti,1.753,1.205,-548,"-31,3%",1.131,1.102,-29,"-2,6%",106,167,61,"57,5%",1.958,1.943,-15,"-0,8%",2.906,2.991,85,"2,9%",7.854,7.408,-446,"-5,7%"
,PR,410165,Arapuã,129,80,-49,"-38,0%",16,19,3,"18,8%",4,3,-1,"-25,0%",78,105,27,"34,6%",255,286,31,"12,2%",482,493,11,"2,3%"
,PR,410170,Araruna,123,213,90,"73,2%",1.688,1.615,-73,"-4,3%",23,30,7,"30,4%",499,465,-34,"-6,8%",703,746,43,"6,1%",3.036,3.069,33,"1,1%"
,PR,410180,Araucária,262,256,-6,"-2,3%",15.576,15.919,343,"2,2%",2.146,2.461,315,"14,7%",9.195,9.330,135,"1,5%",23.480,25.769,2.289,"9,7%",50.669,53.735,3.066,"6,1%"
,PR,410185,Ariranha do Ivaí,56,52,-4,"-7,1%",7,7,0,"0,0%",1,4,3,"300,0%",24,24,0,"0,0%",222,241,19,"8,6%",310,328,18,"5,8%"
,PR,410190,Assaí,147,145,-2,"-1,4%",705,656,-49,"-7,0%",58,72,14,"24,1%",568,570,2,"0,4%",1.291,1.414,123,"9,5%",2.769,2.857,88,"3,2%"
,PR,410200,Assis Chateaubriand,468,486,18,"3,8%",983,3.513,2.530,"257,4%",171,152,-19,"-11,1%",2.761,2.764,3,"0,1%",3.179,3.495,316,"9,9%",7.562,10.410,2.848,"37,7%"
,PR,410210,Astorga,436,433,-3,"-0,7%",1.862,1.593,-269,"-14,4%",263,293,30,"11,4%",1.315,1.266,-49,"-3,7%",2.325,2.431,106,"4,6%",6.201,6.016,-185,"-3,0%"
,PR,410220,Atalaia,191,191,0,"0,0%",202,234,32,"15,8%",15,16,1,"6,7%",141,156,15,"10,6%",336,313,-23,"-6,8%",885,910,25,"2,8%"
,PR,410230,Balsa Nova,184,172,-12,"-6,5%",1.762,1.836,74,"4,2%",198,147,-51,"-25,8%",404,589,185,"45,8%",1.586,1.432,-154,"-9,7%",4.134,4.176,42,"1,0%"
,PR,410240,Bandeirantes,1.381,230,-1.151,"-83,3%",668,668,0,"0,0%",196,222,26,"13,3%",1.429,1.507,78,"5,5%",3.416,4.992,1.576,"46,1%",7.090,7.619,529,"7,5%"
,PR,410250,Barbosa Ferraz,127,111,-16,"-12,6%",144,162,18,"12,5%",39,33,-6,"-15,4%",479,526,47,"9,8%",699,727,28,"4,0%",1.488,1.559,71,"4,8%"
,PR,410260,Barracão,30,50,20,"66,7%",229,252,23,"10,0%",45,25,-20,"-44,4%",945,933,-12,"-1,3%",587,1.140,553,"94,2%",1.836,2.400,564,"30,7%"
,PR,410270,Barra do Jacaré,80,77,-3,"-3,8%",45,44,-1,"-2,2%",38,20,-18,"-47,4%",48,40,-8,"-16,7%",252,276,24,"9,5%",463,457,-6,"-1,3%"
,PR,410275,Bela Vista da Caroba,3,4,1,"33,3%",50,50,0,"0,0%",3,0,-3,"-100,0%",70,72,2,"2,9%",269,278,9,"3,3%",395,404,9,"2,3%"
,PR,410280,Bela Vista do Paraíso,212,217,5,"2,4%",492,587,95,"19,3%",100,100,0,"0,0%",788,757,-31,"-3,9%",988,1.156,168,"17,0%",2.580,2.817,237,"9,2%"
,PR,410290,Bituruna,567,412,-155,"-27,3%",1.831,1.966,135,"7,4%",129,173,44,"34,1%",443,480,37,"8,4%",944,1.058,114,"12,1%",3.914,4.089,175,"4,5%"
,PR,410300,Boa Esperança,141,130,-11,"-7,8%",7,8,1,"14,3%",7,4,-3,"-42,9%",222,210,-12,"-5,4%",328,369,41,"12,5%",705,721,16,"2,3%"
,PR,410302,Boa Esperança do Iguaçu,42,45,3,"7,1%",62,62,0,"0,0%",14,6,-8,"-57,1%",91,83,-8,"-8,8%",248,253,5,"2,0%",457,449,-8,"-1,8%"
,PR,410304,Boa Ventura de São Roque,174,168,-6,"-3,4%",374,454,80,"21,4%",1,0,-1,"-100,0%",218,223,5,"2,3%",151,527,376,"249,0%",918,1.372,454,"49,5%"
,PR,410305,Boa Vista da Aparecida,31,29,-2,"-6,5%",132,162,30,"22,7%",74,81,7,"9,5%",257,264,7,"2,7%",753,746,-7,"-0,9%",1.248,1.282,34,"2,7%"
,PR,410310,Bocaiúva do Sul,339,325,-14,"-4,1%",1.490,890,-600,"-40,3%",29,33,4,"13,8%",313,377,64,"20,4%",962,1.475,513,"53,3%",3.133,3.100,-33,"-1,1%"
,PR,410315,Bom Jesus do Sul,11,11,0,"0,0%",207,219,12,"5,8%",52,47,-5,"-9,6%",121,84,-37,"-30,6%",272,334,62,"22,8%",663,695,32,"4,8%"
,PR,410320,Bom Sucesso,307,378,71,"23,1%",27,27,0,"0,0%",47,39,-8,"-17,0%",154,131,-23,"-14,9%",435,451,16,"3,7%",970,1.026,56,"5,8%"
,PR,410322,Bom Sucesso do Sul,78,63,-15,"-19,2%",326,336,10,"3,1%",10,31,21,"210,0%",136,172,36,"26,5%",286,281,-5,"-1,7%",836,883,47,"5,6%"
,PR,410330,Borrazópolis,106,98,-8,"-7,5%",134,148,14,"10,4%",5,18,13,"260,0%",300,299,-1,"-0,3%",605,618,13,"2,1%",1.150,1.181,31,"2,7%"
,PR,410335,Braganey,121,148,27,"22,3%",54,29,-25,"-46,3%",12,12,0,"0,0%",216,198,-18,"-8,3%",374,376,2,"0,5%",777,763,-14,"-1,8%"
,PR,410337,Brasilândia do Sul,73,67,-6,"-8,2%",0,0,0,#DIV/0!,6,9,3,"50,0%",179,193,14,"7,8%",236,294,58,"24,6%",494,563,69,"14,0%"
,PR,410340,Cafeara,62,57,-5,"-8,1%",1,5,4,"400,0%",5,4,-1,"-20,0%",37,34,-3,"-8,1%",218,211,-7,"-3,2%",323,311,-12,"-3,7%"
,PR,410345,Cafelândia,287,283,-4,"-1,4%",5.630,5.964,334,"5,9%",263,242,-21,"-8,0%",1.175,1.076,-99,"-8,4%",2.418,3.619,1.201,"49,7%",9.773,11.184,1.411,"14,4%"
,PR,410347,Cafezal do Sul,70,79,9,"12,9%",184,188,4,"2,2%",8,4,-4,"-50,0%",108,106,-2,"-1,9%",294,298,4,"1,4%",664,675,11,"1,7%"
,PR,410350,Califórnia,44,43,-1,"-2,3%",916,838,-78,"-8,5%",69,57,-12,"-17,4%",259,312,53,"20,5%",792,756,-36,"-4,5%",2.080,2.006,-74,"-3,6%"
,PR,410360,Cambará,270,235,-35,"-13,0%",2.134,1.594,-540,"-25,3%",73,72,-1,"-1,4%",1.097,1.144,47,"4,3%",1.957,1.925,-32,"-1,6%",5.531,4.970,-561,"-10,1%"
,PR,410370,Cambé,354,365,11,"3,1%",8.502,8.684,182,"2,1%",1.467,1.509,42,"2,9%",8.307,7.814,-493,"-5,9%",10.044,10.064,20,"0,2%",28.674,28.436,-238,"-0,8%"
,PR,410380,Cambira,79,83,4,"5,1%",821,922,101,"12,3%",36,84,48,"133,3%",305,284,-21,"-6,9%",680,654,-26,"-3,8%",1.921,2.027,106,"5,5%"
,PR,410390,Campina da Lagoa,281,282,1,"0,4%",91,120,29,"31,9%",103,114,11,"10,7%",684,765,81,"11,8%",1.207,1.237,30,"2,5%",2.366,2.518,152,"6,4%"
,PR,410395,Campina do Simão,91,157,66,"72,5%",202,217,15,"7,4%",7,8,1,"14,3%",97,104,7,"7,2%",258,283,25,"9,7%",655,769,114,"17,4%"
,PR,410400,Campina Grande do Sul,52,52,0,"0,0%",2.131,2.366,235,"11,0%",408,472,64,"15,7%",3.128,3.133,5,"0,2%",5.777,6.518,741,"12,8%",11.496,12.541,1.045,"9,1%"
,PR,410405,Campo Bonito,82,90,8,"9,8%",27,20,-7,"-25,9%",3,7,4,"133,3%",113,116,3,"2,7%",358,359,1,"0,3%",583,592,9,"1,5%"
,PR,410410,Campo do Tenente,277,347,70,"25,3%",291,201,-90,"-30,9%",50,30,-20,"-40,0%",353,338,-15,"-4,2%",498,529,31,"6,2%",1.469,1.445,-24,"-1,6%"
,PR,410420,Campo Largo,293,311,18,"6,1%",10.411,9.927,-484,"-4,6%",1.774,1.963,189,"10,7%",7.245,7.493,248,"3,4%",13.795,14.727,932,"6,8%",33.518,34.421,903,"2,7%"
,PR,410425,Campo Magro,53,46,-7,"-13,2%",1.375,1.397,22,"1,6%",38,57,19,"50,0%",843,893,50,"5,9%",1.555,2.084,529,"34,0%",3.864,4.477,613,"15,9%"
,PR,410430,Campo Mourão,793,798,5,"0,6%",5.950,6.384,434,"7,3%",1.156,1.145,-11,"-1,0%",8.175,8.068,-107,"-1,3%",13.820,14.930,1.110,"8,0%",29.894,31.325,1.431,"4,8%"
,PR,410440,Cândido de Abreu,207,194,-13,"-6,3%",251,217,-34,"-13,5%",4,6,2,"50,0%",385,394,9,"2,3%",809,906,97,"12,0%",1.656,1.717,61,"3,7%"
,PR,410442,Candói,659,633,-26,"-3,9%",493,305,-188,"-38,1%",47,193,146,"310,6%",633,679,46,"7,3%",1.399,1.492,93,"6,6%",3.231,3.302,71,"2,2%"
,PR,410445,Cantagalo,95,84,-11,"-11,6%",250,303,53,"21,2%",34,42,8,"23,5%",409,366,-43,"-10,5%",703,788,85,"12,1%",1.491,1.583,92,"6,2%"
,PR,410450,Capanema,32,61,29,"90,6%",1.887,1.987,100,"5,3%",108,137,29,"26,9%",1.242,1.200,-42,"-3,4%",1.778,3.596,1.818,"102,2%",5.047,6.981,1.934,"38,3%"
,PR,410460,Capitão Leônidas Marques,80,66,-14,"-17,5%",1.102,1.042,-60,"-5,4%",74,102,28,"37,8%",909,919,10,"1,1%",1.263,1.213,-50,"-4,0%",3.428,3.342,-86,"-2,5%"
,PR,410465,Carambeí,1.944,2.093,149,"7,7%",3.966,4.204,238,"6,0%",335,890,555,"165,7%",1.480,1.409,-71,"-4,8%",2.726,2.931,205,"7,5%",10.451,11.527,1.076,"10,3%"
,PR,410470,Carlópolis,406,402,-4,"-1,0%",583,567,-16,"-2,7%",29,42,13,"44,8%",701,713,12,"1,7%",998,997,-1,"-0,1%",2.717,2.721,4,"0,1%"
,PR,410480,Cascavel,2.484,2.737,253,"10,2%",24.943,24.629,-314,"-1,3%",7.731,7.880,149,"1,9%",32.106,32.492,386,"1,2%",55.376,57.021,1.645,"3,0%",122.652,124.759,2.107,"1,7%"
,PR,410490,Castro,3.592,3.623,31,"0,9%",2.707,4.827,2.120,"78,3%",945,1.012,67,"7,1%",6.938,4.307,-2.631,"-37,9%",6.681,7.458,777,"11,6%",20.863,21.227,364,"1,7%"
,PR,410500,Catanduvas,235,232,-3,"-1,3%",352,392,40,"11,4%",15,16,1,"6,7%",318,319,1,"0,3%",581,633,52,"9,0%",1.501,1.592,91,"6,1%"
,PR,410510,Centenário do Sul,102,102,0,"0,0%",201,200,-1,"-0,5%",54,26,-28,"-51,9%",293,305,12,"4,1%",761,827,66,"8,7%",1.411,1.460,49,"3,5%"
,PR,410520,Cerro Azul,254,347,93,"36,6%",218,239,21,"9,6%",32,25,-7,"-21,9%",425,420,-5,"-1,2%",662,716,54,"8,2%",1.591,1.747,156,"9,8%"
,PR,410530,Céu Azul,231,398,167,"72,3%",1.049,925,-124,"-11,8%",54,61,7,"13,0%",633,533,-100,"-15,8%",996,1.088,92,"9,2%",2.963,3.005,42,"1,4%"
,PR,410540,Chopinzinho,225,214,-11,"-4,9%",1.695,1.838,143,"8,4%",199,203,4,"2,0%",1.410,1.375,-35,"-2,5%",1.772,2.023,251,"14,2%",5.301,5.653,352,"6,6%"
,PR,410550,Cianorte,938,912,-26,"-2,8%",10.479,10.669,190,"1,8%",595,601,6,"1,0%",5.715,5.550,-165,"-2,9%",8.155,8.715,560,"6,9%",25.882,26.447,565,"2,2%"
,PR,410560,Cidade Gaúcha,237,239,2,"0,8%",2.359,2.423,64,"2,7%",49,79,30,"61,2%",304,280,-24,"-7,9%",882,860,-22,"-2,5%",3.831,3.881,50,"1,3%"
,PR,410570,Clevelândia,289,292,3,"1,0%",809,875,66,"8,2%",218,113,-105,"-48,2%",881,876,-5,"-0,6%",1.149,1.151,2,"0,2%",3.346,3.307,-39,"-1,2%"
,PR,410580,Colombo,536,579,43,"8,0%",11.173,12.344,1.171,"10,5%",3.499,3.904,405,"11,6%",12.488,12.057,-431,"-3,5%",17.518,18.924,1.406,"8,0%",45.214,47.808,2.594,"5,7%"
,PR,410590,Colorado,3.340,89,-3.251,"-97,3%",784,3.839,3.055,"389,7%",51,59,8,"15,7%",1.058,1.076,18,"1,7%",2.066,2.104,38,"1,8%",7.299,7.167,-132,"-1,8%"
,PR,410600,Congonhinhas,286,299,13,"4,5%",91,114,23,"25,3%",1,2,1,"100,0%",221,220,-1,"-0,5%",505,537,32,"6,3%",1.104,1.172,68,"6,2%"
,PR,410610,Conselheiro Mairinck,145,121,-24,"-16,6%",8,43,35,"437,5%",24,26,2,"8,3%",75,73,-2,"-2,7%",265,270,5,"1,9%",517,533,16,"3,1%"
,PR,410620,Contenda,85,236,151,"177,6%",640,610,-30,"-4,7%",49,40,-9,"-18,4%",567,643,76,"13,4%",1.106,996,-110,"-9,9%",2.447,2.525,78,"3,2%"
